season,game_id,team,team_id,FGA,FTA,TOV,OREB,PTS,poss,pace,ortg,ot_periods,game_minutes
2025_full,1022500205,IND,1611661325,63,19,17,8,80,77.0,77.0,103.9,0,40
2025_full,1022500205,DAL,1611661321,71,15,14,7,81,79.0,79.0,102.53,0,40
2025_full,1022500209,LVA,1611661319,65,28,10,14,83,71.0,71.0,116.9,0,40
2025_full,1022500209,NYL,1611661313,64,16,11,6,77,72.0,72.0,106.94,0,40
2025_full,1022500208,WAS,1611661322,64,18,8,7,83,70.0,70.0,118.57,0,40
2025_full,1022500208,GSV,1611661331,57,17,13,7,88,70.0,70.0,125.71,0,40
2025_full,1022500207,CON,1611661323,71,15,5,9,70,70.0,70.0,100.0,0,40
2025_full,1022500207,CHI,1611661329,62,12,19,10,62,70.0,70.0,88.57,0,40
2025_full,1022500210,SEA,1611661328,74,13,6,6,75,75.0,75.0,100.0,0,40
2025_full,1022500210,ATL,1611661330,63,15,14,9,85,73.0,73.0,116.44,0,40
2025_full,1022500215,PHX,1611661317,68,14,12,7,83,77.0,77.0,107.79,0,40
2025_full,1022500215,LVA,1611661319,66,26,11,12,86,77.0,77.0,111.69,0,40
2025_full,1022500213,DAL,1611661321,75,11,15,7,96,84.0,84.0,114.29,0,40
2025_full,1022500213,LAS,1611661320,75,25,14,15,97,81.0,81.0,119.75,0,40
2025_full,1022500211,IND,1611661325,73,16,9,7,84,77.0,77.0,109.09,0,40
2025_full,1022500211,WAS,1611661322,55,26,13,4,88,75.0,75.0,117.33,0,40
2025_full,1022500212,CHI,1611661329,65,6,14,9,59,67.0,67.0,88.06,0,40
2025_full,1022500212,GSV,1611661331,56,25,8,6,90,67.0,67.0,134.33,0,40
2025_full,1022500214,ATL,1611661330,58,25,12,7,78,72.0,72.0,108.33,0,40
2025_full,1022500214,SEA,1611661328,71,13,6,7,80,73.0,73.0,109.59,0,40
2025_full,1022500216,MIN,1611661324,65,33,7,6,86,75.0,75.0,114.67,0,40
2025_full,1022500216,NYL,1611661313,71,8,13,7,80,75.0,75.0,106.67,0,40
2025_full,1022500219,LVA,1611661319,68,23,8,4,106,78.0,78.0,135.9,0,40
2025_full,1022500219,DAL,1611661321,78,9,12,8,87,79.0,79.0,110.13,0,40
2025_full,1022500217,WAS,1611661322,59,18,14,8,95,72.0,72.0,131.94,0,40
2025_full,1022500217,LAS,1611661320,70,11,7,4,86,76.0,76.0,113.16,0,40
