player_name,poss,net_rapm,orapm,drapm,rapm_reconstructed,residual,ots,otov,oreb,otrans,dts,dtov,dreb,dtrans
Te-Hina Paopao,3119,1.02,2.424,-1.404,1.063,-0.043,0.000819039941945543,-0.01678230203361314,0.006257724732156911,-0.02511261730567746,0.012688070012469077,-0.012047546549631694,0.05671382674572112,0.01707675338746059
Paige Bueckers,3751,1.002,1.869,-0.867,-0.571,1.573,-0.002553201984360154,-0.005393592228735672,0.014289853246213124,-0.0033270633444047737,-0.035733893178345744,-0.00799641071692761,-0.014900993459239176,0.005333191643898866
Sania Feagin,605,0.959,1.215,-0.256,-1.643,2.602,-0.01144760041824272,-0.00035613493455377565,-0.02819587915708427,-0.03240378254427698,-0.09662086764928302,0.00857037593184029,0.0034280772994991215,-0.024053850901038454
Nika Muhl,320,0.953,1.835,-0.881,-1.38,2.333,-0.04190599361300201,-0.032399714202358,0.1217429213325118,-0.021011938572645772,-0.1354839644538326,0.018606893277538505,-0.1534346677985401,-0.11648806142735424
Tianna Hawkins,3166,0.952,1.31,-0.358,1.114,-0.162,0.008101854429747313,-0.007643753716697704,-0.06146961001302767,0.0002506242414245796,-0.011958163363011143,0.014746428025572633,0.004487960712323713,0.005756220656508548
Aliyah Boston,11593,0.89,1.241,-0.351,0.477,0.413,0.01726350197392479,-0.004547100292923101,0.016413384346786353,-0.009392297277807632,-0.01440385536190536,-0.013376647881249676,-0.0030712398012402997,0.004664524628909983
Olivia Nelson-Ododa,6781,0.889,-3.037,3.926,0.328,0.561,-0.002931497592919663,0.011228457325426905,0.00010564388128089797,0.014027013268713973,0.001670941950239313,0.017974038849196655,-0.023513013234596203,0.022078045104034494
Lorela Cubaj,1084,0.87,-0.412,1.282,1.279,-0.409,0.007068863795100411,-0.0013730891473565932,0.058466560073522356,0.006796032441846955,0.020942669437755856,-0.005564593954639541,0.02970580150393498,-0.003377159171715105
Teaira McCowan,6226,0.809,-0.928,1.738,0.395,0.414,-0.0015000774331525024,-0.00037161553921383206,0.08376077250234443,0.0007121691950239262,-0.002502633466075821,-0.004403003334412903,-0.006621934608097929,-0.0022770432714268596
Brittney Griner,8208,0.803,2.288,-1.485,1.115,-0.312,0.025109218859443172,-0.0014447112155608621,-0.04633874123677462,-0.02550826809956258,0.012844864063682793,-0.01987863835746881,-0.020898712577853307,-0.012303739393455915
Dominique Malonga,3219,0.798,4.151,-3.353,0.154,0.644,-0.007870254618528583,0.009262759717303587,0.00027151574526596,0.020869734025218967,-0.004086577534723301,0.008632967242451578,0.017647814781268673,-0.011398078773407982
Sevgi Uzun,4089,0.739,0.469,0.27,-0.954,1.693,0.006573755848023333,0.03076071701922392,0.025901760485196934,-0.01642908224751699,-0.016011537087054717,-0.01087858605082953,-0.023529460682581105,-0.01699077106797031
Rebecca Allen,8097,0.724,1.567,-0.843,0.01,0.714,-0.0037003742698065167,0.0160441897483303,0.017552573877748556,-0.004342282905500872,0.007866982496524122,-0.002028328929414347,0.006968033614931812,-0.007083178784641986
Maria Kliundikova,1837,0.718,0.896,-0.178,2.24,-1.522,0.03156121785128008,-0.011106944968823695,0.043486394010497254,0.03477509846439125,0.010761345861954985,0.015721610385158152,0.00795296417732716,0.06122109535788953
Amy Okonkwo,832,0.704,2.277,-1.572,1.526,-0.822,0.03385989376136356,-0.03364094727766763,0.0033830682113367982,-0.015052636247064377,-0.03978483718799952,-0.010000343495171038,-0.08480721681814796,-0.0027987901722935082
Shey Peddy,2081,0.685,-0.441,1.126,-0.055,0.74,-0.0029487234781464533,0.001818857557094461,0.0006793013127936731,-0.012482933047783917,-0.027294596455817777,-0.00022314806093642892,-0.025983687406383238,-0.033133825083987434
Lexie Hull,8608,0.671,2.002,-1.331,0.101,0.57,0.02190236210222285,0.003897084131933959,0.024402805053442056,0.0018600190300760433,-0.028252738282539602,-0.008232716419750236,-0.003494492475608929,0.011526064722448687
Haley Jones,6328,0.631,0.35,0.281,0.161,0.47,-0.0019958990351194306,0.004686438083062322,-0.00502256124692424,0.020999569752525593,0.005316442400140842,-0.00903511109743757,0.027813104037467035,-0.010775871075333343
Sug Sutton,8518,0.618,1.566,-0.947,-0.193,0.811,0.012464103748386357,0.016452738048784582,-0.03021658360574281,-0.022605075827547755,-0.009755371657942602,-0.011021595352845859,-0.015192793867759735,-0.011934990503639886
Jordin Canada,8839,0.599,-0.413,1.012,1.351,-0.752,0.002675166915250715,-0.012773259294314665,-0.015463829614687397,-8.170601450624426e-05,-0.005750676529234888,0.009937118783384546,0.04251966330098833,-0.0042864090405733135
Alissa Pili,1151,0.595,-0.696,1.29,-0.259,0.854,-0.0017704619458646098,0.04006963062345903,-0.0006269568513198598,-0.0006896115286206261,0.001982649037046702,0.020137248022122606,-0.007508960832336542,-0.0073947137878692115
Odyssey Sims,5411,0.49,-0.275,0.765,-0.557,1.047,0.010691467737311111,0.01111630894227486,0.012706376482013504,0.03617714278196693,-0.039817259306120345,0.003093685649409511,0.011989521679231202,0.014566860541433302
Marquesha Davis,446,0.485,0.304,0.181,-0.668,1.153,0.00603379045660013,0.04335279374453224,0.07080161457725159,-0.007363979388972319,0.007532372518814501,0.008011365693008754,-0.03627780505344208,0.03287418347060497
Elizabeth Williams,8491,0.478,-1.327,1.805,-0.22,0.698,-0.022803846775863168,0.0065551312606629,0.018239830369897736,-0.008302695486765155,0.012117302283438158,-0.0012602966761895984,-0.019115297056001235,-0.009272086802210033
Jasmine Thomas,1247,0.467,-0.53,0.997,1.095,-0.628,-0.02355526032329619,-0.030867122565117103,-0.02731279897340358,-0.019142967511552533,-0.005504788762471735,0.0116819873000851,0.002288086419426155,-0.005338061427354213
Evina Westbrook,492,0.465,-0.257,0.722,0.39,0.075,-0.001015954850214218,0.006819267784923838,-0.05244768514263637,0.020095785004589972,0.004726361328965534,0.017010024478712332,-0.05757410134973834,0.024619662149881566
Nia Coffey,6691,0.441,-0.216,0.657,1.024,-0.583,-0.006607271634025413,-0.004131517946886404,-0.01177184033662887,0.01188233299736835,0.03827055339319679,-0.008604128275709111,0.02587678792639364,-0.00020981283978360743
Destanni Henderson,998,0.415,0.433,-0.019,1.974,-1.559,0.026587298245471236,-0.0011539457416989973,0.04499873528600018,0.012384526073818847,-0.007462756896470912,0.006050223232501095,0.05060338306536982,-0.03402036759037608
Kristi Toliver,390,0.408,-0.081,0.489,-1.557,1.965,-0.05733562687959115,0.021198102140752073,-0.05690401312837612,-0.038720271905979126,-0.010935135447639244,0.020886895121205756,0.01920999982460672,-0.030566344255637035
Kathryn Westbeld,3418,0.401,-0.787,1.188,0.795,-0.394,-0.01682170781330722,-0.003663800780919352,-0.013438564476541737,0.02093776447115525,0.017881529905365623,0.017081880108707675,-0.020101334465206788,0.011563381245386861
Marine Johannes,5836,0.4,1.99,-1.59,0.453,-0.053,0.005058794438138059,0.00814665026635819,-0.0008534984670146573,0.0012935266853794092,0.010337943762442736,-0.002423483012565869,-0.025904267699706662,0.0019541831356330586
Victaria Saxton,241,0.397,-0.722,1.119,0.049,0.348,-0.005808421663401231,0.06840634162083581,-0.02133089059873186,0.02273806142735424,0.016519138816379786,0.06333309435758203,0.04723283324443028,0.029121442704877182
Diamond DeShields,1436,0.382,0.118,0.264,-0.884,1.266,-0.030659073751560906,0.013561482982144796,0.05282299455781525,0.0019515445734216152,-0.013737898750629474,0.006752615534891981,-0.03547135344053881,-0.032268448167685704
Ezi Magbegor,11895,0.334,-1.77,2.104,0.86,-0.526,-0.010831625031206271,-0.0057942400557523255,-0.014951385809895135,0.006880668601457474,0.004594960519318958,0.010995895852866533,-0.0010576792672785384,-0.01229655460171053
Sydney Colson,3101,0.226,-0.519,0.745,0.022,0.204,-0.0012745159464093714,0.003756231707270824,-0.009876041100404104,-0.012261938572645792,-0.022108608830414878,0.005627091220989283,0.025029248888466665,0.001831645973678464
Jaylyn Sherrod,963,0.192,0.673,-0.481,-2.99,3.182,-0.019592572711647882,0.042394734942771795,0.08094993620098306,0.028180865855398474,-0.06413328591483891,0.007003587199820277,-0.00880255752868958,0.0004371210543975823
